NOME,SOBRENOME,EMAIL,SEXO,DATA_NASCIMENTO,SALARIO,EMPRESA
Felipe,Araujo,FelipePintoAraujo@teleworm.us,M,1972-03-26,7474.34,Ifood
Marisa,null,MarisaSousaCosta@fleckens.hu,F,1977-01-26,6464.26,Ifood
Clara,Cardoso,ClaraRochaCardoso@fleckens.hu,F,1966-02-05,7562.2,Ifood
Beatriz,Lima,BeatrizSouzaLima@rhyta.com,F,1959-10-06,5297.84,Ifood
Vitór,Araujo,VitorGomesAraujo@supermail.com,M,1956-08-08,7044.55,Ifood
Ana,Costa, ,F,1989-04-11,5705.99,Ifood
Arthur,Martins,ArthurFerreiraMartins@gustr.com,M,1993-04-23,7726.1,Ifood
Igor,Costa,IgorLimaCosta@armyspy.com,M,1958-12-24,5213.86,Ifood
Davi,Pereira,DaviCorreiaPereira@jourrapide.com,M,1982-06-07,8387.91,Ifood
Lucas,Pereira,LucasPintoPereira@teleworm.us,M,1950-09-10,5311.24,Ifood
Mariana,Dias,MarianaCardosoDias@cuvox.de,F,1961-06-08,6009.97,Ifood
Luiz,Costa,LuizRibeiroCosta@teleworm.us,M,1992-12-30,5319.8,Ifood
Maria,Rocha,MariaAraujoRocha@cuvox.de,F,1979-05-08,7122.41,MovilePay
Giovana,Gomes,GiovanaBarrosGomes@einrot.com,F,1980-10-04,6414.88,MovilePay
Kauã,Pereira,KauaCunhaPereira@teleworm.us,M,1951-03-14,6703.0,MovilePay
Isabela,Azevedo,IsabelaFernandesAzevedo@rhyta.com,F,1950-05-19,8784.08,Sympla
Tânia,Martins,TaniaDiasMartins@teleworm.us,F,1947-10-29,5147.64,Sympla
Nicolash,Goncalves,NicolashCarvalhoGoncalves@armyspy.com,M,1975-08-10,5247.33,Sympla
Camila,Carvalho,CamilaOliveiraCarvalho@supermail.com,F,1972-02-02,5750.59,Sympla
Cauã,Fernandes,CauaBarbosaFernandes@jourrapide.com,M,1990-02-10,5078.54,Sympla
Lavinia,Melo,LaviniaCavalcantiMelo@teleworm.us,null,1972-02-03,8389.47,Zoop
Daniel,Cardoso,DanielCorreiaCardoso@supermail.com,M,1962-09-13,9630.71,Zoop
Vinícius,Fernandes,ViniciusAzevedoFernandes@cuvox.de,M,1979-11-01,5009.68,Zoop
Fábio,Martins,FabioBarrosMartins@teleworm.us,M,1959-07-18,5962.78,Zoop
Victor,Cardoso,VictorFerreiraCardoso@armyspy.com,M,1970-12-25,5241.72,Zoop
Amanda,Cavalcanti,AmandaGomesCavalcanti@gustr.com,F,1949-03-14,6370.97,Zoop
Bruna,Castro,BrunaFerreiraCastro@supermail.com,F,1977-06-16,5331.96,Zoop
Diogo,Gomes,DiogoMartinsGomes@superrito.com,M,1976-01-05,9349.79,Zoop
Samuel,Ribeiro,SamuelAlvesRibeiro@jourrapide.com,M,1975-02-23,8191.93,Zoop
Larissa,Cunha,LarissaPereiraCunha@superrito.com,F,1972-05-29,9411.83,Zoop
Eduardo,Pereira,EduardoSantosPereira@gustr.com,M,1946-03-14,9782.79,Zoop
Otávio,Almeida,OtavioCunhaAlmeida@rhyta.com,M,1987-09-04,9019.67,Zoop
Laura,Castro,LauraCorreiaCastro@einrot.com,F,1983-08-21,9565.6,Zoop
Raissa,Alves,RaissaOliveiraAlves@gustr.com,F,1980-09-29,6971.04,Zoop
Marina,Pereira,MarinaAzevedoPereira@supermail.com,F,1985-10-22,7084.06,Zoop
Rodrigo,Pereira,RodrigoCardosoPereira@einrot.com,M,1960-03-24,7422.1,Zoop
Vitória,Gomes,VitoriaLimaGomes@fleckens.hu,F,1950-08-13,9472.67,Zoop
Douglas,Rocha,DouglasCunhaRocha@einrot.com,M,1945-03-09,5973.34,Zoop
Evely,Carvalho,EvelynRibeiroCarvalho@superrito.com,F,1989-01-25,9166.83,Zoop
Murilo,Sousa,MuriloCunhaSousa@gustr.com,M,1976-03-26,6319.2,Sympla
Luis,Carvalho,LuisCostaCarvalho@einrot.com,M,1947-02-24,6143.12,Sympla
Eduardo,Barros,EduardoCardosoBarros@teleworm.us,M,1981-10-21,9981.5,Sympla
Vitória,Pereira,VitoriaSantosPereira@fleckens.hu,F,1980-03-25,7160.58,Sympla
Amanda,Melo,AmandaAlmeidaMelo@armyspy.com,F,1958-12-11,7651.91,Sympla
Rena,Gomes,RenanMartinsGomes@superrito.com,M,1949-11-22,5233.48,Sympla
Lavinia,Azevedo,LaviniaAlmeidaAzevedo@cuvox.de,F,1985-10-18,7044.42,Sympla
Kauã,Barros,KauaRochaBarros@gustr.com,M,1990-10-22,9396.31,Sympla
Kaua,Fernandes,KauaBarrosFernandes@teleworm.us,M,1970-06-06,7554.16,Sympla
Amanda,Fernandes,AmandaCunhaFernandes@rhyta.com,F,1992-09-15,6648.82,Sympla
Samuel,Ribeiro,SamuelRochaRibeiro@teleworm.us,M,1985-10-30,5284.13,Sympla
Martim,Castro,MartimBarrosCastro@gustr.com,M,1962-07-28,6384.38,Sympla
Caio,Almeida,CaioPereiraAlmeida@teleworm.us,M,1984-04-11,9850.37,Sympla
Nicole,Castro,NicoleLimaCastro@einrot.com,F,1969-1-19,6188.06,Sympla
Bruna,Rocha,BrunaCunhaRocha@teleworm.us,F,1943-05-13,7505.07,Sympla
Caio,Pereira,CaioSousaPereira@rhyta.com,M,1982-07-01,7957.04,Sympla
Ágatha,Castro,AgathaPintoCastro@fleckens.hu,F,1991-02-08,6256.63,Sympla
Rafael,Almeida,RafaelRochaAlmeida@rhyta.com,M,1974-11-26,6133.81,Sympla
Thiago,Pereira,ThiagoCastroPereira@superrito.com,M,1953-12-24,8330.7,Sympla
Caio,Sousa,CaioSouzaSousa@jourrapide.com,M,1945-04-03,8971.77,Sympla
Fernanda,Pinto,FernandaSantosPinto@einrot.com,F,1965-09-05,8819.25,Sympla
Rya,Gomes,RyanRochaGomes@gustr.com,M,1961-05-19,5338.72,Sympla
Júlia,Lima,null,F,1962-03-13,8428.36,Sympla
Kauã,Melo,KauaCarvalhoMelo@cuvox.de,M,1961-08-13,9131.6,Sympla
Lara,Alves,LaraPereiraAlves@gustr.com,F,1974-12-18,8949.07,MovilePay
Fernanda,Rocha,FernandaAlmeidaRocha@cuvox.de,F,1988-04-06,6083.85,MovilePay
Manuela,Fernandes,ManuelaCarvalhoFernandes@rhyta.com,F,1976-08-28,5698.64,MovilePay
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30,9685.77,MovilePay
João,Almeida,JoaoCarvalhoAlmeida@jourrapide.com,M,1990-08-31,9394.82,MovilePay
Luiza,Melo,LuizaOliveiraMelo@einrot.com,F,1957-09-21,8707.99,MovilePay
Tânia,Santos,TaniaFerreiraSantos@einrot.com,F,1954-05-15,9146.87,MovilePay
Clara,Cavalcanti,ClaraBarrosCavalcanti@cuvox.de,F,1968-08-08,5769.99,MovilePay
Sofia,Azevedo,SofiaDiasAzevedo@cuvox.de,F,1969-05-21,7795.38,MovilePay
Carlos,Barros,CarlosAzevedoBarros@jourrapide.com,M,1947-10-29,5975.03,MovilePay
Antônio,Fernandes,AntonioSantosFernandes@jourrapide.com,M,1955-07-24,6338.59,Zoop
Vinicius,Goncalves,ViniciusDiasGoncalves@fleckens.hu,M,1981-08-17,6624.67,Zoop
Luana,Azevedo,LuanaSantosAzevedo@armyspy.com,F,1954-08-16,8534.41,Zoop
Murilo,Dias,MuriloCunhaDias@teleworm.us,M,1994-06-15,8781.53,Zoop
Eduardo,Ferreira,EduardoDiasFerreira@einrot.com,M,1974-04-09,5625.81,Zoop
Samuel,Rodrigues,SamuelAraujoRodrigues@einrot.com,M,1980-04-15,6036.52,Zoop
Vitória,Pereira,VitoriaSantosPereira@fleckens.hu,F,1980-03-25,5267.82,Zoop
Martim,Barros,MartimRodriguesBarros@einrot.com,M,1981-05-19,6212.72,Zoop
Kaua,Gomes,KauaPereiraGomes@einrot.com,M,1991-09-05,5394.72,Zoop
Lucas,Pinto,LucasCastroPinto@rhyta.com,M,1986-07-03,8891.82,Zoop
Luís,Santos,LuisCorreiaSantos@armyspy.com,M,1956-12-30,9556.64,Zoop
Isabella,Cunha,IsabellaCarvalhoCunha@superrito.com,F,1977-07-06,7267.46,Zoop
Marina,Cunha,MarinaDiasCunha@jourrapide.com,F,1946-04-24,9342.39,Zoop
Sophia,Cunha,SophiaDiasCunha@einrot.com,F,1986-08-05,5555.76,Zoop
Clara,Correia,ClaraBarbosaCorreia@fleckens.hu,F,1967-09-21,5964.64,Zoop
Melissa,Dias,MelissaCunhaDias@armyspy.com,F,1994-02-02,9619.8,Zoop
Vinícius,Oliveira,ViniciusBarbosaOliveira@fleckens.hu,M,1976-09-07,9742.17,Zoop
Julia,Cunha,JulianFerreiraCunha@jourrapide.com,M,1953-01-26,5896.97,Zoop
 , ,JoaoBarrosFernandes@teleworm.us,M,1943-12-27,5134.05,Zoop
Fernanda,Araujo,FernandaCunhaAraujo@superrito.com,F,1959-05-26,8635.64,MovilePay
Diogo,Pereira,DiogoDiasPereira@teleworm.us,M,1982-10-04,5721.76,MovilePay
Igor,Sousa,IgorDiasSousa@armyspy.com,M,1990-05-18,6039.57,MovilePay
Emily,Cunha,EmilyAlmeidaCunha@einrot.com,F,1982-10-14,7882.82,MovilePay
Ágatha,Sousa,AgathaDiasSousa@gustr.com,F,1945-05-06,7260.06,MovilePay
Nicolas,Azevedo,NicolasRibeiroAzevedo@rhyta.com,M,1965-08-05,8110.61,MovilePay
Luiza,Martins,LuizaRibeiroMartins@rhyta.com,F,1984-12-01,5747.86,MovilePay
Vitor,Fernandes,VitorFerreiraFernandes@teleworm.us,M,1982-08-21,9598.12,MovilePay
Diego,Pinto,DiegoRodriguesPinto@cuvox.de,null,1982-05-19,6959.47,MovilePay
Eduardo,Sousa,EduardoRodriguesSousa@rhyta.com,M,1981-11-22,8334.45,MovilePay
Nicolash,Melo,NicolashBarbosaMelo@armyspy.com,M,1989-03-24,8354.31,Ifood
Beatrice,Pereira,BeatriceAlmeidaPereira@rhyta.com,F,1974-05-12,5691.94,Ifood
Thaís,Azevedo,ThaisBarrosAzevedo@fleckens.hu,F,1994-03-13,7210.34,Ifood
Lucas,Melo,LucasCardosoMelo@teleworm.us,M,1986-04-14,9499.32,Ifood
Luana,Azevedo,LuanaSantosAzevedo@armyspy.com,F,1954-08-16,8860.19,Ifood
José,Araujo, ,M,1951-02-23,9817.42,Ifood
Livia,Pereira,LiviaCastroPereira@fleckens.hu,F,1984-09-06,8106.57,Ifood
Paulo,Cavalcanti,PauloSilvaCavalcanti@supermail.com,M,1974-06-22,7006.33,Ifood
Bruno,Costa,BrunoCunhaCosta@cuvox.de,M,1965-04-17,5903.13,Ifood
 ,Cavalcanti,JoaoRibeiroCavalcanti@rhyta.com,null,1946-09-25,9357.13,Ifood
Victor,Correia,VictorSilvaCorreia@jourrapide.com,M,1987-09-10,7308.11,Ifood
Luiz,Sousa,LuizMartinsSousa@einrot.com,M,1959-04-18,6254.87,Ifood
 ,Martins,JoaoCavalcantiMartins@einrot.com,M,1952-04-12,7566.31,Ifood
Guilherme,Oliveira,GuilhermeAraujoOliveira@rhyta.com,M,1987-03-24,8890.55,Ifood
Felipe,Barbosa,FelipeSousaBarbosa@armyspy.com,M,1982-10-28,9263.18,Ifood
Rodrigo,Cavalcanti,RodrigoBarrosCavalcanti@jourrapide.com,M,1959-01-23,5930.39,Ifood
Diogo,Fernandes,null,M,1987-02-01,5758.84,Ifood
Martim,Oliveira,MartimCastroOliveira@armyspy.com,M,1973-10-08,8967.31,Ifood
Ágatha,Martins,AgathaAzevedoMartins@cuvox.de,F,1985-03-01,9449.57,Ifood
Martim,Correia,MartimCostaCorreia@rhyta.com,M,1966-07-03,7790.77,Ifood
Vitória,Pereira,VitoriaSantosPereira@fleckens.hu,F,1980-03-25,8971.84,Ifood
Gustavo,Barbosa,GustavoGoncalvesBarbosa@einrot.com,M,1966-04-21,9592.22,Ifood
José,Ribeiro,JoseCostaRibeiro@teleworm.us,M,1976-07-30,7229.27,Ifood
Giovanna,Correia,GiovannaCostaCorreia@armyspy.com,F,1948-09-11,5593.88,Ifood
Daniel,Fernandes,DanielAlmeidaFernandes@rhyta.com,M,1955-12-07,9971.98,MovilePay
Cauã,Azevedo,CauaSousaAzevedo@einrot.com,M,1977-05-20,7687.46,MovilePay
Manuela,Goncalves,ManuelaSouzaGoncalves@cuvox.de,F,1994-05-30,9925.76,MovilePay
Gustavo,Castro,GustavoPintoCastro@einrot.com,M,1961-11-14,7680.77,MovilePay
João,Pereira,JoaoBarbosaPereira@gustr.com,M,1943-07-02,9164.92,MovilePay
Gabriel,Almeida,GabrielBarbosaAlmeida@armyspy.com,M,1947-03-30,8190.21,MovilePay
Emilly,Souza,EmillyCunhaSouza@gustr.com,F,1984-12-13,6292.29,Zoop
Bruna,Melo,BrunaSantosMelo@rhyta.com,F,1959-03-26,7786.54,Zoop
Pedro,Alves,PedroPereiraAlves@supermail.com,M,1948-10-10,7955.8,Zoop
Vitória,Alves,VitoriaAlmeidaAlves@armyspy.com,F,1947-09-05,5273.53,Zoop
Leonardo,Ferreira,LeonardoCardosoFerreira@superrito.com,M,1949-05-22,6455.04,Zoop
Bianca,Correia,BiancaSouzaCorreia@einrot.com,F,1980-03-12,7094.4,Zoop
Raissa,Costa,RaissaFerreiraCosta@superrito.com,F,1962-03-04,8417.28,Zoop
Vitoria,Carvalho,VitoriaCavalcantiCarvalho@rhyta.com,F,1948-09-07,6415.46,Zoop
Alex,Cardoso,AlexRochaCardoso@gustr.com,M,1978-03-04,6176.79,Zoop
Luís,Martins,LuisRibeiroMartins@teleworm.us,M,1981-01-13,9299.07,Zoop
Samuel,Azevedo,SamuelOliveiraAzevedo@fleckens.hu,M,1963-01-18,8954.06,Zoop
Kaua,Ferreira,KauaSousaFerreira@einrot.com,M,1980-07-20,7960.06,Zoop
Isabelle,Barbosa,IsabelleCunhaBarbosa@superrito.com,F,1967-04-08,6240.9,Zoop
Douglas,Barros,DouglasRibeiroBarros@rhyta.com,M,1974-06-23,7059.08,Zoop
Carlos,Gomes,CarlosOliveiraGomes@teleworm.us,M,1984-03-18,8838.6,Zoop
Eduardo,Carvalho,EduardoBarbosaCarvalho@armyspy.com,M,1944-07-09,5107.16,Zoop
Luis,Dias,LuisPintoDias@supermail.com,M,1952-11-23,6978.31,Zoop
Brenda,Castro,BrendaCostaCastro@gustr.com,F,1975-04-20,6618.14,Zoop
Isabella,Goncalves,IsabellaAlmeidaGoncalves@einrot.com,F,1984-04-14,7091.8,Zoop
Isabela,Lima,IsabelaPintoLima@fleckens.hu,F,1975-12-22,6077.55,Zoop
Cauã,Melo,CauaCavalcantiMelo@fleckens.hu,M,1954-06-22,7055.43,Zoop
Davi,Pinto,DaviAzevedoPinto@armyspy.com,M,1994-06-20,5404.19,MovilePay
Kaua,Santos,KauaGoncalvesSantos@jourrapide.com,M,1983-01-16,6110.85,MovilePay
Sarah,Almeida,SarahSantosAlmeida@gustr.com,F,1980-08-22,9923.17,MovilePay
Rya,Alves,RyanGomesAlves@fleckens.hu,M,1995-05-19,6570.72,MovilePay
Felipe,Carvalho,FelipePereiraCarvalho@fleckens.hu,M,1954-03-23,8591.6,MovilePay
Lucas,Souza,LucasPereiraSouza@superrito.com,M,1944-08-22,5691.84,MovilePay
Emilly,Sousa,EmillyAzevedoSousa@armyspy.com,F,1978-10-15,5806.35,MovilePay
Carolina,Cardoso,CarolinaMeloCardoso@supermail.com,F,1983-10-25,9734.05,MovilePay
